student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,hobbies,skills.tech.python,skills.tech.excel,skills.tech.sql,skills.soft,family.siblings,family.income.father,family.income.mother,device_type,device_brand,device_year
10,Elizabeth Villegas,22.0,Female,,(205)467-4476x0583,South Dianatown,anthonywalker@@gmail.com,2013-02-11 07:12:29,data_sciense,99.0,inactive,,average,,2014-12-16 06:44:51,"BROKEN,ADDRESS,DATA,,,","management, to",1.0,1.0,4.0,"['beat', 'southern']",3.0,597.0,1150.0,laptop,Dell,2016.0
20,Anthony Hardy ,20.0,Male,,669-272-8730x1241,Kimport,voice,,ds,65.0,pending,,  excellent  ,,,"Masontown 10-kv, dom 21, Tashkent","certainly, defense",5.0,2.0,4.0,"['medical', 'quality']",4.0,1220.0,1220.0,laptop,Lenovo,2018.0
32,April Johnson ,20.0,Male,,0548293587,Andersontown,daniel21@@hotmail.com,,PYTHNO,,active,-2.0,good,,2022-04-21 06:18:32,"Apartment 42, Christineburgh district, Tashkent, UZ, 100686","material, relate",5.0,3.0,3.0,"['against', 'history']",4.0,1124.0,1323.0,laptop,Dell,2023.0
33,Joyce Franklin,20.0,Female,60.0,618.090.5816x281,South Brittany,exist,2000-06-29 21:16:26,Data Science,66.0,inactive,15.5,  excellent  ,,,"New Antonio 12-kv, dom 41, Tashkent","run, case",4.0,2.0,3.0,"['rock', 'never']",4.0,1009.0,1369.0,laptop,Dell,2022.0
43,Amanda Myers,19.0,Female,,6981153243,North Christopherborough,hoganandrew@@hotmail.com,,data science,,pending,-2.0,average,,1990-02-09 05:03:04,UZ 100515 Tashkent North Joseph,"professional, necessary",5.0,4.0,2.0,"['recent', 'tend']",1.0,1134.0,1304.0,laptop,Dell,2018.0
50,Justin Wong ,18.0,Female,90.0,(010)809-9177x1999,Travisfort,?ali@@gmail..com,,d.s.,,active,,average,,,"Apartment 28, East Andrew district, Tashkent, UZ, 100090","decide, continue",4.0,4.0,3.0,"['these', 'could']",3.0,204.0,506.0,laptop,Lenovo,2016.0
58,Eric Holmes ,,Male,57.0,+1-421-927-3279,West Tricia,?ali@@gmail..com,,ds,80.0,pending,15.5,  excellent  ,,,"682 Vasquez Expressway Suite 699, West Nicolechester","recognize, between",5.0,2.0,2.0,"['image', 'leg']",5.0,1178.0,1209.0,laptop,Lenovo,2021.0
65,Randall Heath ,18.0,Male,,346-373-6033x101,Deleonside,someonegmail.com,,PYTHNO,65.0,pending,,average,,,"Apartment 7, Lutzfort district, Tashkent, UZ, 100220","position, stuff",3.0,4.0,1.0,"['two', 'economy']",5.0,527.0,408.0,laptop,HP,2021.0
84,Michael Jenkins ,18.0,Female,68.0,864.413.5870x913,New Brenda,mcolon@gmail.com,,ds,,inactive,-2.0,average,,,"BROKEN,ADDRESS,DATA,,,","collection, single",4.0,4.0,1.0,"['expect', 'fall']",5.0,675.0,1465.0,laptop,Dell,2020.0
96,Joel Cantrell ,18.0,Female,91.0,699-868-7229x572,Duncanshire,john55@cox-horne.org,,d.s.,,inactive,15.5,average,295.0,,"902 Wiggins Mill, East Susan","skill, continue",1.0,5.0,4.0,"['actually', 'condition']",3.0,1454.0,391.0,laptop,HP,2023.0
